question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
11,1,"A data engineer needs to create a table in Databricks using data from a CSV file at location /path/to/csv.

They run the following command:

//IMG//


Which of the following lines of code fills in the above blank to successfully complete the task?","FROM ""path/to/csv""",USING CSV,FROM CSV,USING DELTA,,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/147416-exam-certified-data-engineer-associate-topic-1-question-108/,3,"La réponse correcte est B. USING CSV. Lors de la création d'une table dans Databricks à partir d'un fichier CSV, il est nécessaire de spécifier le format du fichier source. L'utilisation de ""USING CSV"" indique que le format du fichier est CSV, ce qui permet à Databricks de comprendre comment lire et interpréter les données. Les autres options, comme A. FROM ""path/to/csv"" et C. FROM CSV, ne spécifient pas correctement le format du fichier. L'option D. USING DELTA est incorrecte car elle indique que le format est Delta, ce qui ne correspond pas au format CSV du fichier source."
12,1,What is a benefit of creating an external table from Parquet rather than CSV when using a CREATE TABLE AS SELECT statement?,Parquet files can be partitioned,Parquet files will become Delta tables,Parquet files have a well-defined schema,Parquet files have the ability to be optimized,,,C,single,4,3,https://www.examtopics.com/discussions/databricks/view/140622-exam-certified-data-engineer-associate-topic-1-question-109/,3,"La réponse correcte est C. Parquet files have a well-defined schema. Les fichiers Parquet sont conçus pour stocker des données de manière structurée avec un schéma bien défini, ce qui facilite l'interprétation et la validation des données. Contrairement aux fichiers CSV, qui sont simplement des fichiers texte avec des séparateurs et peuvent être sujets à des incohérences de format, les fichiers Parquet conservent des informations de type de données, ce qui améliore la compatibilité et l'efficacité lors des opérations de lecture et d'écriture. Bien que les fichiers Parquet puissent être optimisés (réponse D) et partitionnés (réponse A), ces caractéristiques ne sont pas exclusives à Parquet par rapport à CSV dans le contexte de la création de tables externes. La réponse B est incorrecte car les fichiers Parquet ne deviennent pas automatiquement des tables Delta."
13,1,"A data engineer has left the organization. The data team needs to transfer ownership of the data engineer’s Delta tables to a new data engineer. The new data engineer is the lead engineer on the data team.
Assuming the original data engineer no longer has access, which of the following individuals must be the one to transfer ownership of the Delta tables in Data Explorer?",Databricks account representative,This transfer is not possible,Workspace administrator,New lead data engineer,Original data engineer,,C,single,5,28,https://www.examtopics.com/discussions/databricks/view/104745-exam-certified-data-engineer-associate-topic-1-question-11/,3,"Le choix correct est C. Workspace administrator. Lorsqu'un ingénieur de données quitte l'organisation et que l'accès lui est retiré, il n'est plus possible pour lui de transférer la propriété de ses tables Delta. L'administrateur de l'espace de travail (Workspace administrator) a les privilèges nécessaires pour modifier les droits d'accès et transférer la propriété des ressources, y compris les tables Delta, à un autre utilisateur, comme le nouvel ingénieur principal des données. Ni le représentant du compte Databricks (A), ni le nouvel ingénieur principal (D) ne peuvent effectuer ce transfert sans les droits administratifs appropriés."
14,1,Which SQL keyword can be used to convert a table from a long format to a wide format?,TRANSFORM,PIVOT,SUM,CONVERT,,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/146487-exam-certified-data-engineer-associate-topic-1-question-110/,3,"Le mot-clé SQL correct pour convertir une table d'un format long à un format large est ""PIVOT"". Le PIVOT est utilisé pour transformer des lignes en colonnes, ce qui est essentiel pour passer d'un format long (où les données sont organisées en plusieurs lignes) à un format large (où les données sont organisées en plusieurs colonnes). Les autres choix, tels que TRANSFORM, SUM et CONVERT, ne sont pas appropriés pour cette opération : TRANSFORM n'est pas un mot-clé standard en SQL, SUM est utilisé pour l'agrégation de données numériques, et CONVERT est utilisé pour changer le type de données."
15,1,"A data engineer has a Python variable table_name that they would like to use in a SQL query. They want to construct a Python code block that will run the query using table_name.

They have the following incomplete code block:

____(f""SELECT customer_id, spend FROM {table_name}"")

What can be used to fill in the blank to successfully complete the task?",spark.delta.sql,spark.sql,spark.table,dbutils.sql,,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/147887-exam-certified-data-engineer-associate-topic-1-question-111/,3,"La bonne réponse est B. spark.sql. La méthode `spark.sql` est utilisée pour exécuter des requêtes SQL sur des DataFrames dans Apache Spark. En utilisant `spark.sql`, vous pouvez passer une chaîne de requête SQL qui peut inclure des variables Python, comme `table_name`, pour interroger les données. Les autres choix, tels que `spark.delta.sql`, `spark.table`, et `dbutils.sql`, ne sont pas des méthodes valides pour exécuter directement une requête SQL dans Spark. `spark.delta.sql` n'existe pas, `spark.table` est utilisé pour accéder à une table Spark sous forme de DataFrame, et `dbutils.sql` n'est pas une méthode reconnue dans ce contexte."
16,1,"A data engineer is working with two tables. Each of these tables is displayed below in its entirety.

//IMG//


The data engineer runs the following query to join these tables together:

//IMG//",,,D.,,,,C,single,1,6,https://www.examtopics.com/discussions/databricks/view/141061-exam-certified-data-engineer-associate-topic-1-question-112/,4,"L'ingénieur de données effectue une jointure entre deux tables. Les choix corrects, C et D, indiquent que la jointure est probablement une jointure interne (INNER JOIN) ou une jointure externe (OUTER JOIN) qui combine les lignes des deux tables en fonction d'une clé commune. La réponse C pourrait signifier que seules les lignes avec des valeurs correspondantes dans les deux tables sont retournées, tandis que la réponse D pourrait indiquer que toutes les lignes des deux tables sont retournées, avec des valeurs nulles là où il n'y a pas de correspondance. Ces choix sont typiques des résultats attendus lors de l'utilisation de jointures dans SQL."
17,1,"A data engineer needs to apply custom logic to identify employees with more than 5 years of experience in array column employees in table stores. The custom logic should create a new column exp_employees that is an array of all of the employees with more than 5 years of experience for each row. In order to apply this custom logic at scale, the data engineer wants to use the FILTER higher-order function.

Which code block successfully completes this task?",,,D.,,,,A,single,1,2,https://www.examtopics.com/discussions/databricks/view/147418-exam-certified-data-engineer-associate-topic-1-question-113/,4,"La réponse correcte est A. Le code dans le choix A utilise la fonction FILTER, qui est une fonction d'ordre supérieur appropriée pour filtrer les éléments d'un tableau en fonction d'une condition donnée. Dans ce cas, la condition est que l'expérience de l'employé soit supérieure à 5 ans. Les autres choix, C et D, ne sont pas mentionnés dans la question, ce qui indique qu'ils ne contiennent pas le code correct pour accomplir cette tâche spécifique. Le choix A est donc le seul qui répond correctement à la demande du data engineer."
18,1,"A data engineer that is new to using Python needs to create a Python function to add two integers together and return the sum?

Which code block can the data engineer use to complete this task?",,,D.,,,,D,single,1,11,https://www.examtopics.com/discussions/databricks/view/140234-exam-certified-data-engineer-associate-topic-1-question-114/,4,"La réponse correcte est D. D car elle présente une fonction Python bien définie pour additionner deux entiers. La fonction utilise la syntaxe correcte en définissant une fonction avec le mot-clé `def`, suivie du nom de la fonction, par exemple `add_numbers`, et prend deux paramètres entiers. Ensuite, elle retourne la somme de ces deux entiers en utilisant l'opérateur `+`. Les autres choix ne sont pas mentionnés, mais D est correct car il suit les conventions de base de la définition d'une fonction en Python."
19,1,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table.

The code block used by the data engineer is below:

//IMG//


Which line of code should the data engineer use to fill in the blank if the data engineer only wants the query to execute a micro-batch to process data every 5 seconds?","trigger(""5 seconds"")","trigger(continuous=""5 seconds"")","trigger(once=""5 seconds"")","trigger(processingTime=""5 seconds"")",,,D,single,4,2,https://www.examtopics.com/discussions/databricks/view/146490-exam-certified-data-engineer-associate-topic-1-question-115/,4,"La réponse correcte est D. trigger(processingTime=""5 seconds""). Dans le contexte de Spark Structured Streaming, le paramètre `processingTime` est utilisé pour spécifier l'intervalle de temps entre chaque micro-lot. L'option A, trigger(""5 seconds""), n'est pas valide car elle ne suit pas la syntaxe correcte pour définir un déclencheur de micro-lot. L'option B, trigger(continuous=""5 seconds""), est incorrecte car elle se réfère à un mode de traitement continu, qui n'est pas pertinent pour un micro-lot. Enfin, l'option C, trigger(once=""5 seconds""), est incorrecte car le mode ""once"" exécute le flux une seule fois et ne prend pas en compte un intervalle de temps."
20,1,"A data engineer is maintaining a data pipeline. Upon data ingestion, the data engineer notices that the source data is starting to have a lower level of quality. The data engineer would like to automate the process of monitoring the quality level.

Which of the following tools can the data engineer use to solve this problem?",Auto Loader,Unity Catalog,Delta Lake,Delta Live Tables,,,D,single,4,1,https://www.examtopics.com/discussions/databricks/view/151779-exam-certified-data-engineer-associate-topic-1-question-116/,4,"Delta Live Tables (DLT) est la réponse correcte car il s'agit d'un outil conçu pour automatiser la gestion et la surveillance des pipelines de données, y compris la qualité des données. DLT permet de définir des règles de qualité des données et de surveiller automatiquement les données entrantes pour s'assurer qu'elles respectent ces règles. Contrairement à Auto Loader, qui est principalement utilisé pour l'ingestion de données, ou Unity Catalog, qui est un outil de gestion des métadonnées, DLT offre des fonctionnalités spécifiques pour la gestion de la qualité des données. Delta Lake, quant à lui, est une solution de stockage qui améliore la fiabilité et la performance des lacs de données, mais ne fournit pas de mécanismes automatiques pour surveiller la qualité des données."
21,1,"A data engineer has three tables in a Delta Live Tables (DLT) pipeline. They have configured the pipeline to drop invalid records at each table. They notice that some data is being dropped due to quality concerns at some point in the DLT pipeline. They would like to determine at which table in their pipeline the data is being dropped.

Which approach can the data engineer take to identify the table that is dropping the records?",They can set up separate expectations for each table when developing their DLT pipeline.,"They can navigate to the DLT pipeline page, click on the “Error” button, and review the present errors.",They can set up DLT to notify them via email when records are dropped.,"They can navigate to the DLT pipeline page, click on each table, and view the data quality statistics.",,,D,single,4,1,https://www.examtopics.com/discussions/databricks/view/146531-exam-certified-data-engineer-associate-topic-1-question-117/,5,"La réponse correcte est D. En naviguant vers la page du pipeline DLT et en cliquant sur chaque table, l'ingénieur de données peut consulter les statistiques de qualité des données. Cela permet d'identifier précisément à quel niveau les enregistrements sont rejetés en raison de problèmes de qualité. L'option A, qui consiste à configurer des attentes distinctes pour chaque table, ne fournit pas directement l'information sur où les données sont rejetées. L'option B, cliquer sur le bouton ""Erreur"", et l'option C, recevoir des notifications par email, ne permettent pas d'obtenir une vue détaillée des statistiques de qualité pour chaque table spécifique."
22,1,What is used by Spark to record the offset range of the data being processed in each trigger in order for Structured Streaming to reliably track the exact progress of the processing so that it can handle any kind of failure by restarting and/or reprocessing?,Checkpointing and Write-ahead Logs,Replayable Sources and Idempotent Sinks,Write-ahead Logs and Idempotent Sinks,Checkpointing and Idempotent Sinks,,,D,single,4,6,https://www.examtopics.com/discussions/databricks/view/146534-exam-certified-data-engineer-associate-topic-1-question-118/,5,"La réponse correcte est D. Checkpointing et Idempotent Sinks. Dans Apache Spark Structured Streaming, le checkpointing est utilisé pour enregistrer l'état de progression du traitement, y compris les offsets des données traitées dans chaque déclencheur. Cela permet au système de redémarrer et de retraiter les données en cas de panne sans perte de données ni duplication. Les ""idempotent sinks"" garantissent que même si une opération d'écriture est répétée après un redémarrage, le résultat final reste correct et sans doublons. Les autres choix mentionnent des concepts qui ne sont pas directement utilisés pour suivre l'état de progression ou gérer les pannes dans Spark Structured Streaming."
23,1,What describes the relationship between Gold tables and Silver tables?,Gold tables are more likely to contain aggregations than Silver tables.,Gold tables are more likely to contain valuable data than Silver tables.,Gold tables are more likely to contain a less refined view of data than Silver tables.,Gold tables are more likely to contain truthful data than Silver tables.,,,A,single,4,3,https://www.examtopics.com/discussions/databricks/view/146532-exam-certified-data-engineer-associate-topic-1-question-119/,5,"Les tables Gold et Silver font partie des niveaux de transformation des données dans un lac de données. Les tables Silver contiennent généralement des données nettoyées et enrichies, mais encore relativement détaillées. En revanche, les tables Gold sont souvent utilisées pour des analyses plus avancées et contiennent donc des agrégations et des résumés des données, ce qui correspond à la réponse A. Les autres choix ne sont pas corrects car les tables Gold ne sont pas nécessairement plus précieuses (B), moins raffinées (C), ou plus véridiques (D) que les tables Silver; elles sont simplement à un stade différent de transformation et d'utilisation analytique."
24,1,"A data analyst has created a Delta table sales that is used by the entire data analysis team. They want help from the data engineering team to implement a series of tests to ensure the data is clean. However, the data engineering team uses Python for its tests rather than SQL.
Which of the following commands could the data engineering team use to access sales in PySpark?",SELECT * FROM sales,There is no way to share data between PySpark and SQL.,"spark.sql(""sales"")","spark.table(""sales"")",,,E,single,4,32,https://www.examtopics.com/discussions/databricks/view/104748-exam-certified-data-engineer-associate-topic-1-question-12/,5,"La bonne réponse est D. La commande `spark.table(""sales"")` permet à l'équipe d'ingénierie des données d'accéder à la table Delta nommée ""sales"" dans PySpark. Cette méthode est utilisée pour charger une table existante dans un DataFrame PySpark, ce qui permet d'effectuer des opérations et des tests en Python. La réponse A, `SELECT * FROM sales`, est une commande SQL et ne peut pas être utilisée directement dans PySpark sans passer par `spark.sql()`. La réponse C, `spark.sql(""sales"")`, est incorrecte car elle ne constitue pas une requête SQL valide. La réponse B est incorrecte car il est tout à fait possible de partager des données entre PySpark et SQL en utilisant les bonnes commandes."
25,1,What describes when to use the CREATE STREAMING LIVE TABLE (formerly CREATE INCREMENTAL LIVE TABLE) syntax over the CREATE LIVE TABLE syntax when creating Delta Live Tables (DLT) tables using SQL?,CREATE STREAMING LIVE TABLE should be used when the subsequent step in the DLT pipeline is static.,CREATE STREAMING LIVE TABLE should be used when data needs to be processed incrementally.,CREATE STREAMING LIVE TABLE should be used when data needs to be processed through complicated aggregations.,CREATE STREAMING LIVE TABLE should be used when the previous step in the DLT pipeline is static.,,,B,single,4,2,https://www.examtopics.com/discussions/databricks/view/146533-exam-certified-data-engineer-associate-topic-1-question-120/,5,"La réponse correcte est B. CREATE STREAMING LIVE TABLE devrait être utilisé lorsque les données doivent être traitées de manière incrémentielle. Cette syntaxe est appropriée pour les scénarios où les données arrivent en continu et doivent être traitées au fur et à mesure de leur arrivée, ce qui est typique des flux de données en temps réel. Contrairement à CREATE LIVE TABLE, qui est utilisé pour des traitements par lots statiques, CREATE STREAMING LIVE TABLE permet de gérer efficacement les données entrantes sans nécessiter de re-traiter l'ensemble des données à chaque exécution. Les autres choix, A, C, et D, ne décrivent pas correctement l'utilisation de CREATE STREAMING LIVE TABLE dans le contexte de traitement incrémentiel."
26,1,"A Delta Live Table pipeline includes two datasets defined using STREAMING LIVE TABLE. Three datasets are defined against Delta Lake table sources using LIVE TABLE.

The table is configured to run in Production mode using the Continuous Pipeline Mode.

What is the expected outcome after clicking Start to update the pipeline assuming previously unprocessed data exists and all definitions are valid?",All datasets will be updated at set intervals until the pipeline is shut down. The compute resources will persist to allow for additional testing.,All datasets will be updated once and the pipeline will shut down. The compute resources will persist to allow for additional testing.,All datasets will be updated at set intervals until the pipeline is shut down. The compute resources will be deployed for the update and terminated when the pipeline is stopped.,All datasets will be updated once and the pipeline will shut down. The compute resources will be terminated.,,,C,single,4,2,https://www.examtopics.com/discussions/databricks/view/146535-exam-certified-data-engineer-associate-topic-1-question-121/,6,"La réponse correcte est C. En mode de pipeline continu, les tables Delta Live sont mises à jour en continu à des intervalles définis tant que le pipeline est en cours d'exécution. Cela signifie que les ensembles de données seront mis à jour de manière répétée jusqu'à ce que le pipeline soit arrêté manuellement. Les ressources de calcul sont déployées pour effectuer ces mises à jour et seront terminées lorsque le pipeline sera arrêté, ce qui correspond exactement à la description de l'option C. Les autres options (A, B, D) ne décrivent pas correctement le comportement des pipelines en mode continu."
27,1,Which type of workloads are compatible with Auto Loader?,Streaming workloads,Machine learning workloads,Serverless workloads,Batch workloads,,,A,single,4,3,https://www.examtopics.com/discussions/databricks/view/149736-exam-certified-data-engineer-associate-topic-1-question-122/,6,"Auto Loader est conçu pour gérer les flux de données en continu, ce qui le rend compatible avec les charges de travail de streaming. Il permet de détecter automatiquement les nouveaux fichiers dans les sources de données et de les traiter en temps réel, ce qui est essentiel pour les applications de streaming. Les charges de travail par lots (D) ne bénéficient pas des capacités de traitement en temps réel d'Auto Loader, et les charges de travail d'apprentissage automatique (B) et sans serveur (C) ne sont pas directement liées à la fonction principale d'Auto Loader, qui est le traitement de données en continu."
28,1,"A data engineer has developed a data pipeline to ingest data from a JSON source using Auto Loader, but the engineer has not provided any type inference or schema hints in their pipeline. Upon reviewing the data, the data engineer has noticed that all of the columns in the target table are of the string type despite some of the fields only including float or boolean values.

Why has Auto Loader inferred all of the columns to be of the string type?",Auto Loader cannot infer the schema of ingested data,JSON data is a text-based format,Auto Loader only works with string data,All of the fields had at least one null value,,,B,single,4,2,https://www.examtopics.com/discussions/databricks/view/144151-exam-certified-data-engineer-associate-topic-1-question-123/,6,"La réponse correcte est B. JSON est un format basé sur du texte, ce qui signifie que toutes les données sont initialement interprétées comme des chaînes de caractères. Lorsqu'Auto Loader ingère des données JSON sans inférence de schéma ou indices de schéma fournis, il interprète par défaut toutes les valeurs comme étant de type chaîne. Cela explique pourquoi toutes les colonnes de la table cible sont de type chaîne, même si certaines valeurs pourraient être des flottants ou des booléens. Les autres choix, A et C, sont incorrects car Auto Loader peut effectivement inférer le schéma des données ingérées, et il ne se limite pas uniquement aux données de type chaîne. Le choix D est également incorrect car la présence de valeurs nulles n'affecte pas la capacité d'Auto Loader à inférer le type de données."
29,1,Which statement regarding the relationship between Silver tables and Bronze tables is always true?,"Silver tables contain a less refined, less clean view of data than Bronze data.",Silver tables contain aggregates while Bronze data is unaggregated.,Silver tables contain more data than Bronze tables.,Silver tables contain less data than Bronze tables.,,,D,single,4,11,https://www.examtopics.com/discussions/databricks/view/140248-exam-certified-data-engineer-associate-topic-1-question-124/,6,"Les tables Bronze et Silver sont des concepts utilisés dans les architectures de données en couches, notamment dans le cadre du traitement des données avec des technologies comme Delta Lake. Les tables Bronze contiennent généralement des données brutes, non filtrées et non transformées, directement extraites des sources de données. En revanche, les tables Silver sont des versions raffinées de ces données, où des étapes de nettoyage, de transformation et de filtrage ont été appliquées pour en améliorer la qualité et la pertinence. Par conséquent, il est toujours vrai que les tables Silver contiennent moins de données que les tables Bronze, ce qui correspond à l'option D."
30,1,Which query is performing a streaming hop from raw data to a Bronze table?,,,D.,,,,D,single,1,4,https://www.examtopics.com/discussions/databricks/view/147427-exam-certified-data-engineer-associate-topic-1-question-125/,6,"La réponse correcte est D. D car dans le contexte des architectures de données en couches, un ""streaming hop"" fait référence au processus de transfert et de transformation des données brutes (raw data) vers une table Bronze. Les tables Bronze sont généralement utilisées pour stocker les données dans leur forme la plus brute et la moins transformée, souvent en temps réel ou en flux continu. L'option D. D indique spécifiquement ce type de traitement, où les données sont ingérées directement depuis leur source dans une table Bronze pour une analyse ou une transformation ultérieure. Les autres choix ne mentionnent pas explicitement ce processus de streaming des données brutes vers une table Bronze."
