question_id,topic,question_text,choices,nb_choices,answer,answer_ET,answers_community,nb_comments,url,page
11,1,"A data engineer needs to create a table in Databricks using data from a CSV file at location /path/to/csv.

They run the following command:

//IMG//


Which of the following lines of code fills in the above blank to successfully complete the task?","A. FROM ""path/to/csv""
B. USING CSV
C. FROM CSV
D. USING DELTA",4,B,B,B (100%),1,https://www.examtopics.com/discussions/databricks/view/147416-exam-certified-data-engineer-associate-topic-1-question-108/,3
12,1,What is a benefit of creating an external table from Parquet rather than CSV when using a CREATE TABLE AS SELECT statement?,"A. Parquet files can be partitioned
B. Parquet files will become Delta tables
C. Parquet files have a well-defined schema
D. Parquet files have the ability to be optimized",4,C,C,C (100%),3,https://www.examtopics.com/discussions/databricks/view/140622-exam-certified-data-engineer-associate-topic-1-question-109/,3
13,1,"A data engineer has left the organization. The data team needs to transfer ownership of the data engineer’s Delta tables to a new data engineer. The new data engineer is the lead engineer on the data team.
Assuming the original data engineer no longer has access, which of the following individuals must be the one to transfer ownership of the Delta tables in Data Explorer?","A. Databricks account representative
B. This transfer is not possible
C. Workspace administrator
D. New lead data engineer
E. Original data engineer",5,C,C,C (100%),28,https://www.examtopics.com/discussions/databricks/view/104745-exam-certified-data-engineer-associate-topic-1-question-11/,3
14,1,Which SQL keyword can be used to convert a table from a long format to a wide format?,"A. TRANSFORM
B. PIVOT
C. SUM
D. CONVERT",4,B,B,,1,https://www.examtopics.com/discussions/databricks/view/146487-exam-certified-data-engineer-associate-topic-1-question-110/,3
15,1,"A data engineer has a Python variable table_name that they would like to use in a SQL query. They want to construct a Python code block that will run the query using table_name.

They have the following incomplete code block:

____(f""SELECT customer_id, spend FROM {table_name}"")

What can be used to fill in the blank to successfully complete the task?","A. spark.delta.sql
B. spark.sql
C. spark.table
D. dbutils.sql",4,B,B,B (100%),1,https://www.examtopics.com/discussions/databricks/view/147887-exam-certified-data-engineer-associate-topic-1-question-111/,3
16,1,"A data engineer is working with two tables. Each of these tables is displayed below in its entirety.

//IMG//


The data engineer runs the following query to join these tables together:

//IMG//","A. 
B. 
C. 
D. ",4,C,C,C (86%) | 14%,6,https://www.examtopics.com/discussions/databricks/view/141061-exam-certified-data-engineer-associate-topic-1-question-112/,4
17,1,"A data engineer needs to apply custom logic to identify employees with more than 5 years of experience in array column employees in table stores. The custom logic should create a new column exp_employees that is an array of all of the employees with more than 5 years of experience for each row. In order to apply this custom logic at scale, the data engineer wants to use the FILTER higher-order function.

Which code block successfully completes this task?","A. 
B. 
C. 
D. ",4,A,A,A (100%),2,https://www.examtopics.com/discussions/databricks/view/147418-exam-certified-data-engineer-associate-topic-1-question-113/,4
18,1,"A data engineer that is new to using Python needs to create a Python function to add two integers together and return the sum?

Which code block can the data engineer use to complete this task?","A. 
B. 
C. 
D. ",4,D,D,D (100%),11,https://www.examtopics.com/discussions/databricks/view/140234-exam-certified-data-engineer-associate-topic-1-question-114/,4
19,1,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table.

The code block used by the data engineer is below:

//IMG//


Which line of code should the data engineer use to fill in the blank if the data engineer only wants the query to execute a micro-batch to process data every 5 seconds?","A. trigger(""5 seconds"")
B. trigger(continuous=""5 seconds"")
C. trigger(once=""5 seconds"")
D. trigger(processingTime=""5 seconds"")",4,D,D,D (100%),2,https://www.examtopics.com/discussions/databricks/view/146490-exam-certified-data-engineer-associate-topic-1-question-115/,4
20,1,"A data engineer is maintaining a data pipeline. Upon data ingestion, the data engineer notices that the source data is starting to have a lower level of quality. The data engineer would like to automate the process of monitoring the quality level.

Which of the following tools can the data engineer use to solve this problem?","A. Auto Loader
B. Unity Catalog
C. Delta Lake
D. Delta Live Tables",4,D,D,D (100%),1,https://www.examtopics.com/discussions/databricks/view/151779-exam-certified-data-engineer-associate-topic-1-question-116/,4
21,1,"A data engineer has three tables in a Delta Live Tables (DLT) pipeline. They have configured the pipeline to drop invalid records at each table. They notice that some data is being dropped due to quality concerns at some point in the DLT pipeline. They would like to determine at which table in their pipeline the data is being dropped.

Which approach can the data engineer take to identify the table that is dropping the records?","A. They can set up separate expectations for each table when developing their DLT pipeline.
B. They can navigate to the DLT pipeline page, click on the “Error” button, and review the present errors.
C. They can set up DLT to notify them via email when records are dropped.
D. They can navigate to the DLT pipeline page, click on each table, and view the data quality statistics.",4,D,D,,1,https://www.examtopics.com/discussions/databricks/view/146531-exam-certified-data-engineer-associate-topic-1-question-117/,5
22,1,What is used by Spark to record the offset range of the data being processed in each trigger in order for Structured Streaming to reliably track the exact progress of the processing so that it can handle any kind of failure by restarting and/or reprocessing?,"A. Checkpointing and Write-ahead Logs
B. Replayable Sources and Idempotent Sinks
C. Write-ahead Logs and Idempotent Sinks
D. Checkpointing and Idempotent Sinks",4,D,D,D (56%) | A (44%),6,https://www.examtopics.com/discussions/databricks/view/146534-exam-certified-data-engineer-associate-topic-1-question-118/,5
23,1,What describes the relationship between Gold tables and Silver tables?,"A. Gold tables are more likely to contain aggregations than Silver tables.
B. Gold tables are more likely to contain valuable data than Silver tables.
C. Gold tables are more likely to contain a less refined view of data than Silver tables.
D. Gold tables are more likely to contain truthful data than Silver tables.",4,A,A,A (100%),3,https://www.examtopics.com/discussions/databricks/view/146532-exam-certified-data-engineer-associate-topic-1-question-119/,5
24,1,"A data analyst has created a Delta table sales that is used by the entire data analysis team. They want help from the data engineering team to implement a series of tests to ensure the data is clean. However, the data engineering team uses Python for its tests rather than SQL.
Which of the following commands could the data engineering team use to access sales in PySpark?","A. SELECT * FROM sales
B. There is no way to share data between PySpark and SQL.
C. spark.sql(""sales"")D. spark.delta.table(""sales"")
D. spark.table(""sales"")",4,E,E,E (96%) | 4%,32,https://www.examtopics.com/discussions/databricks/view/104748-exam-certified-data-engineer-associate-topic-1-question-12/,5
25,1,What describes when to use the CREATE STREAMING LIVE TABLE (formerly CREATE INCREMENTAL LIVE TABLE) syntax over the CREATE LIVE TABLE syntax when creating Delta Live Tables (DLT) tables using SQL?,"A. CREATE STREAMING LIVE TABLE should be used when the subsequent step in the DLT pipeline is static.
B. CREATE STREAMING LIVE TABLE should be used when data needs to be processed incrementally.
C. CREATE STREAMING LIVE TABLE should be used when data needs to be processed through complicated aggregations.
D. CREATE STREAMING LIVE TABLE should be used when the previous step in the DLT pipeline is static.",4,B,B,B (100%),2,https://www.examtopics.com/discussions/databricks/view/146533-exam-certified-data-engineer-associate-topic-1-question-120/,5
26,1,"A Delta Live Table pipeline includes two datasets defined using STREAMING LIVE TABLE. Three datasets are defined against Delta Lake table sources using LIVE TABLE.

The table is configured to run in Production mode using the Continuous Pipeline Mode.

What is the expected outcome after clicking Start to update the pipeline assuming previously unprocessed data exists and all definitions are valid?","A. All datasets will be updated at set intervals until the pipeline is shut down. The compute resources will persist to allow for additional testing.
B. All datasets will be updated once and the pipeline will shut down. The compute resources will persist to allow for additional testing.
C. All datasets will be updated at set intervals until the pipeline is shut down. The compute resources will be deployed for the update and terminated when the pipeline is stopped.
D. All datasets will be updated once and the pipeline will shut down. The compute resources will be terminated.",4,C,C,C (100%),2,https://www.examtopics.com/discussions/databricks/view/146535-exam-certified-data-engineer-associate-topic-1-question-121/,6
27,1,Which type of workloads are compatible with Auto Loader?,"A. Streaming workloads
B. Machine learning workloads
C. Serverless workloads
D. Batch workloads",4,A,A,A (67%) | D (33%),3,https://www.examtopics.com/discussions/databricks/view/149736-exam-certified-data-engineer-associate-topic-1-question-122/,6
28,1,"A data engineer has developed a data pipeline to ingest data from a JSON source using Auto Loader, but the engineer has not provided any type inference or schema hints in their pipeline. Upon reviewing the data, the data engineer has noticed that all of the columns in the target table are of the string type despite some of the fields only including float or boolean values.

Why has Auto Loader inferred all of the columns to be of the string type?","A. Auto Loader cannot infer the schema of ingested data
B. JSON data is a text-based format
C. Auto Loader only works with string data
D. All of the fields had at least one null value",4,B,B,B (100%),2,https://www.examtopics.com/discussions/databricks/view/144151-exam-certified-data-engineer-associate-topic-1-question-123/,6
29,1,Which statement regarding the relationship between Silver tables and Bronze tables is always true?,"A. Silver tables contain a less refined, less clean view of data than Bronze data.
B. Silver tables contain aggregates while Bronze data is unaggregated.
C. Silver tables contain more data than Bronze tables.
D. Silver tables contain less data than Bronze tables.",4,D,D,D (83%) | A (17%),11,https://www.examtopics.com/discussions/databricks/view/140248-exam-certified-data-engineer-associate-topic-1-question-124/,6
30,1,Which query is performing a streaming hop from raw data to a Bronze table?,"A. 
B. 
C. 
D. ",4,D,D,D (100%),4,https://www.examtopics.com/discussions/databricks/view/147427-exam-certified-data-engineer-associate-topic-1-question-125/,6
31,1,"A dataset has been defined using Delta Live Tables and includes an expectations clause:

CONSTRAINT valid_timestamp EXPECT (timestamp > '2020-01-01') ON VIOLATION DROP ROW

What is the expected behavior when a batch of data containing data that violates these constraints is processed?","A. Records that violate the expectation cause the job to fail.
B. Records that violate the expectation are added to the target dataset and flagged as invalid in a field added to the target dataset.
C. Records that violate the expectation are dropped from the target dataset and recorded as invalid in the event log.
D. Records that violate the expectation are added to the target dataset and recorded as invalid in the event log.",4,C,C,C (86%) | 14%,7,https://www.examtopics.com/discussions/databricks/view/141060-exam-certified-data-engineer-associate-topic-1-question-126/,7
32,1,"A data engineer has a Job with multiple tasks that runs nightly. Each of the tasks runs slowly because the clusters take a long time to start.

Which action can the data engineer perform to improve the start up time for the clusters used for the Job?","A. They can use endpoints available in Databricks SQL
B. They can use jobs clusters instead of all-purpose clusters
C. They can configure the clusters to autoscale for larger data sizes
D. They can use clusters that are from a cluster pool",4,D,D,D (100%),3,https://www.examtopics.com/discussions/databricks/view/146479-exam-certified-data-engineer-associate-topic-1-question-127/,7
33,1,"A data engineer has a single-task Job that runs each morning before they begin working. After identifying an upstream data issue, they need to set up another task to run a new notebook prior to the original task.

Which approach can the data engineer use to set up the new task?","A. They can clone the existing task in the existing Job and update it to run the new notebook.
B. They can create a new task in the existing Job and then add it as a dependency of the original task.
C. They can create a new task in the existing Job and then add the original task as a dependency of the new task.
D. They can create a new job from scratch and add both tasks to run concurrently.",4,B,B,B (80%) | C (20%),9,https://www.examtopics.com/discussions/databricks/view/140290-exam-certified-data-engineer-associate-topic-1-question-128/,7
34,1,"A single Job runs two notebooks as two separate tasks. A data engineer has noticed that one of the notebooks is running slowly in the Job’s current run. The data engineer asks a tech lead for help in identifying why this might be the case.

Which approach can the tech lead use to identify why the notebook is running slowly as part of the Job?","A. They can navigate to the Runs tab in the Jobs UI to immediately review the processing notebook.
B. They can navigate to the Tasks tab in the Jobs UI and click on the active run to review the processing notebook.
C. They can navigate to the Runs tab in the Jobs UI and click on the active run to review the processing notebook.
D. They can navigate to the Tasks tab in the Jobs UI to immediately review the processing notebook.",4,C,C,C (100%),3,https://www.examtopics.com/discussions/databricks/view/146477-exam-certified-data-engineer-associate-topic-1-question-129/,7
35,1,Which of the following commands will return the location of database customer360?,"A. DESCRIBE LOCATION customer360;
B. DROP DATABASE customer360;
C. DESCRIBE DATABASE customer360;
D. ALTER DATABASE customer360 SET DBPROPERTIES ('location' = '/user'};
E. USE DATABASE customer360;",5,C,C,C (100%),14,https://www.examtopics.com/discussions/databricks/view/104750-exam-certified-data-engineer-associate-topic-1-question-13/,7
36,1,"A data analysis team has noticed that their Databricks SQL queries are running too slowly when connected to their always-on SQL endpoint. They claim that this issue is present when many members of the team are running small queries simultaneously. They ask the data engineering team for help. The data engineering team notices that each of the team’s queries uses the same SQL endpoint.

Which approach can the data engineering team use to improve the latency of the team’s queries?","A. They can increase the cluster size of the SQL endpoint.
B. They can increase the maximum bound of the SQL endpoint’s scaling range.
C. They can turn on the Auto Stop feature for the SQL endpoint.
D. They can turn on the Serverless feature for the SQL endpoint.",4,B,B,B (86%) | 14%,5,https://www.examtopics.com/discussions/databricks/view/145701-exam-certified-data-engineer-associate-topic-1-question-130/,8
37,1,"A data engineer has been using a Databricks SQL dashboard to monitor the cleanliness of the input data to an ELT job. The ELT job has its Databricks SQL query that returns the number of input records containing unexpected NULL values. The data engineer wants their entire team to be notified via a messaging webhook whenever this value reaches 100.

Which approach can the data engineer use to notify their entire team via a messaging webhook whenever the number of NULL values reaches 100?","A. They can set up an Alert with a custom template.
B. They can set up an Alert with a new email alert destination.
C. They can set up an Alert with a new webhook alert destination.
D. They can set up an Alert with one-time notifications.",4,C,C,C (100%),1,https://www.examtopics.com/discussions/databricks/view/146476-exam-certified-data-engineer-associate-topic-1-question-131/,8
38,1,"A data engineer wants to schedule their Databricks SQL dashboard to refresh once per day, but they only want the associated SQL endpoint to be running when it is necessary.

Which approach can the data engineer use to minimize the total running time of the SQL endpoint used in the refresh schedule of their dashboard?","A. They can ensure the dashboard’s SQL endpoint matches each of the queries’ SQL endpoints.
B. They can set up the dashboard’s SQL endpoint to be serverless.
C. They can turn on the Auto Stop feature for the SQL endpoint.
D. They can ensure the dashboard’s SQL endpoint is not one of the included query’s SQL endpoint.",4,C,C,C (100%),1,https://www.examtopics.com/discussions/databricks/view/146475-exam-certified-data-engineer-associate-topic-1-question-132/,8
39,1,"An engineering manager wants to monitor the performance of a recent project using a Databricks SQL query. For the first week following the project’s release, the manager wants the query results to be updated every minute. However, the manager is concerned that the compute resources used for the query will be left running and cost the organization a lot of money beyond the first week of the project’s release.

Which approach can the engineering team use to ensure the query does not cost the organization any money beyond the first week of the project’s release?","A. They can set a limit to the number of DBUs that are consumed by the SQL Endpoint.
B. They can set the query’s refresh schedule to end after a certain number of refreshes.
C. They can set the query’s refresh schedule to end on a certain date in the query scheduler.
D. They can set a limit to the number of individuals that are able to manage the query’s refresh schedule.",4,C,C,C (100%),1,https://www.examtopics.com/discussions/databricks/view/146474-exam-certified-data-engineer-associate-topic-1-question-133/,8
40,1,"A new data engineering team has been assigned to work on a project. The team will need access to database customers in order to see what tables already exist. The team has its own group team.

Which command can be used to grant the necessary permission on the entire database to the new team?","A. GRANT VIEW ON CATALOG customers TO team;
B. GRANT CREATE ON DATABASE customers TO team;
C. GRANT USAGE ON CATALOG team TO customers;
D. GRANT USAGE ON DATABASE customers TO team;",4,A,D,A (100%),1,https://www.examtopics.com/discussions/databricks/view/146472-exam-certified-data-engineer-associate-topic-1-question-134/,8
41,1,"A new data engineering team team has been assigned to an ELT project. The new data engineering team will need full privileges on the table sales to fully manage the project.

Which command can be used to grant full permissions on the database to the new data engineering team?","A. GRANT ALL PRIVILEGES ON TABLE sales TO team;
B. GRANT SELECT CREATE MODIFY ON TABLE sales TO team;
C. GRANT SELECT ON TABLE sales TO team;
D. GRANT ALL PRIVILEGES ON TABLE team TO sales;",4,A,A,A (100%),1,https://www.examtopics.com/discussions/databricks/view/146471-exam-certified-data-engineer-associate-topic-1-question-135/,9
42,1,"Differentiate between all-purpose clusters and jobs clusters.

A data engineering team has created a python notebook to load data from cloud storage, this job has been tested and now needs to be scheduled in production.

Which would be the best cluster to be used in this case?","A. All purpose cluster
B. Any Unity Catalog-enabled cluster
C. Jobs Cluster
D. Serverless SQL warehouse",4,C,C,C (100%),2,https://www.examtopics.com/discussions/databricks/view/152427-exam-certified-data-engineer-associate-topic-1-question-136/,9
43,1,"Identify how the count_if function and the count where x is null can be used

Consider a table random_values with below data.

What would be the output of below query?
select count_if(col > 1) as count_a. count(*) as count_b.count(col1) as count_c from random_values col1
0
1
2

NULL -
2
3","A. 3 6 5
B. 4 6 5
C. 3 6 6
D. 4 6 6",4,A,A,A (100%),3,https://www.examtopics.com/discussions/databricks/view/149798-exam-certified-data-engineer-associate-topic-1-question-137/,9
44,1,Which two components function in the DB platform architecture’s control plane? (Choose two.),"A. Virtual Machines
B. Compute Orchestration
C. Serverless Compute
D. Compute
E. Unity Catalog",5,BE,BE,BE (100%),2,https://www.examtopics.com/discussions/databricks/view/149799-exam-certified-data-engineer-associate-topic-1-question-138/,9
45,1,"In a healthcare provider organization using Delta Lake to store electronic health records (EHRs), a data analyst needs to analyze a snapshot of the patient_records table from two weeks ago before some recent data corrections were applied.

What approach should the Data Engineer take to allow the analyst to query that specific prior version?","A. Truncate the table to remove all data, then reload the data from two weeks ago into the truncated table for the analyst to query.
B. Identify the version number corresponding to two weeks ago from the Delta transaction log, share that version number with the analyst to query using VERSION AS OF syntax, or export that version to a new Delta table for the analyst to query.
C. Restore the table to the version from two weeks ago using the RESTORE command, and have the analyst query the restored table.
D. Use the VACUUM command to remove all versions of the table older than two weeks, then the analyst can query the remaining version.",4,B,B,B (100%),3,https://www.examtopics.com/discussions/databricks/view/149954-exam-certified-data-engineer-associate-topic-1-question-139/,9
46,1,"A data engineer wants to create a new table containing the names of customers that live in France.
They have written the following command:
//IMG//

A senior data engineer mentions that it is organization policy to include a table property indicating that the new table includes personally identifiable information (PII).
Which of the following lines of code fills in the above blank to successfully complete the task?","A. There is no way to indicate whether a table contains PII.
B. ""COMMENT PII""
C. TBLPROPERTIES PII
D. COMMENT ""Contains PII""
E. PII",5,D,D,D (100%),22,https://www.examtopics.com/discussions/databricks/view/104865-exam-certified-data-engineer-associate-topic-1-question-14/,10
47,1,What can be used to simplify and unify siloed data architectures that are specialized for specific use cases?,"A. Delta Lake
B. Data lake
C. Data warehouse
D. Data lakehouse",4,D,D,D (100%),3,https://www.examtopics.com/discussions/databricks/view/152428-exam-certified-data-engineer-associate-topic-1-question-140/,10
48,1,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table.

The code block used by the data engineer is below:

//IMG//


The data engineer only wants the query to process all of the available data in as many batches as required.

Which line of code should the data engineer use to fill in the blank?","A. trigger(availableNow=True)
B. trigger(processingTime= “once”)
C. trigger(continuous= “once”)
D. trigger(once=True)",4,A,A,A (100%),4,https://www.examtopics.com/discussions/databricks/view/150350-exam-certified-data-engineer-associate-topic-1-question-141/,10
49,1,"Data engineer and data analysts are working together on a data pipeline. The data engineer is working on the raw, bronze, and silver layers of the pipeline using Python, and the data analyst is working on the gold layer of the pipeline using SQL. The raw source of the pipeline is a streaming input. They now want to migrate their pipeline to use Delta Live Tables.

Which of the following changes will need to be made to the pipeline when migrating to Delta Live Tables?","A. The pipeline can have different notebook sources in SQL & Python
B. The pipeline will need to be written entirely in SQL
C. The pipeline will need to use a batch source in place of a streaming source
D. The pipeline will need to be written entirely in Python",4,A,A,A (86%) | 14%,5,https://www.examtopics.com/discussions/databricks/view/150641-exam-certified-data-engineer-associate-topic-1-question-142/,10
50,1,"Identify a scenario to use an external table.
A Data Engineer needs to create a parquet bronze table and wants to ensure that it gets stored in a specific path in an external location.

Which table can be created in this scenario?","A. An external table where the location is pointing to specific path in external location.
B. An external table where the schema has managed location pointing to specific path in external location.
C. A managed table where the catalog has managed location pointing to specific path in external location.
D. A managed table where the location is pointing to specific path in external location.",4,A,A,A (100%),2,https://www.examtopics.com/discussions/databricks/view/152431-exam-certified-data-engineer-associate-topic-1-question-143/,10
51,1,"Identify the impact of ON VIOLATION DROP ROW and ON VIOLATION FAIL UPDATE for a constraint violation.

A data engineer has created an ETL pipeline using Delta Live table to manage their company travel reimbursement detail, they want to ensure that the if the location details has not been provided by the employee, the pipeline needs to be terminated.

How can the scenario be implemented?","A. CONSTRAINT valid_location EXPECT (location = NULL)
B. CONSTRAINT valid_location EXPECT (location != NULL) ON VIOLATION FAIL UPDATE
C. CONSTRAINT valid_location EXPECT (location != NULL) ON DROP ROW
D. CONSTRAINT valid_location EXPECT (location != NULL) ON VIOLATION FAIL",4,B,B,B (71%) | D (29%),7,https://www.examtopics.com/discussions/databricks/view/150282-exam-certified-data-engineer-associate-topic-1-question-144/,11
52,1,Which two conditions are applicable for governance in Databricks Unity Catalog? (Choose two.),"A. You can have more than 1 metastore within a databricks account console but only 1 per region.
B. Both catalog and schema must have a managed location in Unity Catalog provided metastore is not associated with a location
C. You can have multiple catalogs within metastore and 1 catalog can be associated with multiple metastore
D. If catalog is not associated with location, it’s mandatory to associate schema with managed locations
E. If metastore is not associated with location, it’s mandatory to associate catalog with managed locations",5,AE,AE,AE (64%) | AD (36%),7,https://www.examtopics.com/discussions/databricks/view/150281-exam-certified-data-engineer-associate-topic-1-question-145/,11
53,1,"A data engineer needs to access the view created by the sales team, using a shared cluster. The data engineer has been provided usage permissions on the catalog and schema. In order to access the view created by sales team.

What are the minimum permissions the data engineer would require in addition?","A. Needs SELECT permission on the VIEW and the underlying TABLE.
B. Needs SELECT permission only on the VIEW
C. Needs ALL PRIVILEGES on the VIEW
D. Needs ALL PRIVILEGES at the SCHEMA level",4,A,A,A (56%) | B (44%),6,https://www.examtopics.com/discussions/databricks/view/151417-exam-certified-data-engineer-associate-topic-1-question-146/,11
54,1,Which method should a Data Engineer apply to ensure Workflows are being triggered on schedule?,"A. Scheduled Workflows require an always-running cluster, which is more expensive but reduces processing latency.
B. Scheduled Workflows process data as it arrives at configured sources.
C. Scheduled Workflows can reduce resource consumption and expense since the cluster runs only long enough to execute the pipeline.
D. Scheduled Workflows run continuously until manually stopped.",4,C,C,C (100%),1,https://www.examtopics.com/discussions/databricks/view/153042-exam-certified-data-engineer-associate-topic-1-question-147/,11
55,1,"The Delta transaction log for the ‘students’ tables is shown using the ‘DESCRIBE HISTORY students’ command. A Data Engineer needs to query the table as it existed before the UPDATE operation listed in the log.

Which command should the Data Engineer use to achieve this? (Choose two.)

//IMG//","A. SELECT * FROM students@v4
B. SELECT * FROM students TIMESTAMP AS OF ‘2024-04-22T 14:32:47.000+00:00’
C. SELECT * FROM students FROM HISTORY VERSION AS OF 3
D. SELECT * FROM students VERSION AS OF 5
E. SELECT * FROM students TIMESTAMP AS OF ‘2024-04-22T 14:32:58.000+00:00’",5,AB,AB,AB (86%) | 14%,4,https://www.examtopics.com/discussions/databricks/view/152432-exam-certified-data-engineer-associate-topic-1-question-148/,11
56,1,"An engineering manager uses a Databricks SQL query to monitor ingestion latency for each data source. The manager checks the results of the query every day, but they are manually rerunning the query each day and waiting for the results.

Which of the following approaches can the manager use to ensure the results of the query are updated each day?","A. They can schedule the query to refresh every 1 day from the SQL endpoint's page in Databricks SQL.
B. They can schedule the query to refresh every 12 hours from the SQL endpoint's page in Databricks SQL.
C. They can schedule the query to refresh every 1 day from the query's page in Databricks SQL.
D. They can schedule the query to run every 12 hours from the Jobs UI.",4,C,C,C (100%),1,https://www.examtopics.com/discussions/databricks/view/153043-exam-certified-data-engineer-associate-topic-1-question-149/,12
57,1,Which of the following benefits is provided by the array functions from Spark SQL?,"A. An ability to work with data in a variety of types at once
B. An ability to work with data within certain partitions and windows
C. An ability to work with time-related data in specified intervals
D. An ability to work with complex, nested data ingested from JSON files
E. An ability to work with an array of tables for procedural automation",5,D,D,D (96%) | 4%,27,https://www.examtopics.com/discussions/databricks/view/104649-exam-certified-data-engineer-associate-topic-1-question-15/,12
58,1,"A data engineer needs to apply custom logic to string column city in table stores for a specific use case. In order to apply this custom logic at scale, the data engineer wants to create a SQL user-defined function (UDF).

Which of the following code blocks creates this SQL UDF?","A. 
B. 
C. 
D. ",4,A,A,A (100%),2,https://www.examtopics.com/discussions/databricks/view/152586-exam-certified-data-engineer-associate-topic-1-question-150/,12
